"engine","executors","query","run","seconds","notes"
"pandas","0","genre_rating","1","0.102804100000412","Local Pandas real run; same CSV and genre query"
"pyspark-cce","1","genre_rating","1","1.258931","Huawei CCE cloud-course-cce; 1 executor(s); Spark 3.4.3"
"pyspark-cce","1","year_trend","1","0.594969","Huawei CCE cloud-course-cce; 1 executor(s); Spark 3.4.3"
"pyspark-cce","1","director_top_n","1","0.55298","Huawei CCE cloud-course-cce; 1 executor(s); Spark 3.4.3"
"pyspark-cce","1","yearly_top_three","1","0.97321","Huawei CCE cloud-course-cce; 1 executor(s); Spark 3.4.3"
"pyspark-cce","1","movie_vs_genre_average","1","1.055628","Huawei CCE cloud-course-cce; 1 executor(s); Spark 3.4.3"
"pyspark-cce","2","genre_rating","1","1.35776","Huawei CCE cloud-course-cce; 2 executor(s); Spark 3.4.3"
"pyspark-cce","2","year_trend","1","0.626227","Huawei CCE cloud-course-cce; 2 executor(s); Spark 3.4.3"
"pyspark-cce","2","director_top_n","1","0.586601","Huawei CCE cloud-course-cce; 2 executor(s); Spark 3.4.3"
"pyspark-cce","2","yearly_top_three","1","1.049643","Huawei CCE cloud-course-cce; 2 executor(s); Spark 3.4.3"
"pyspark-cce","2","movie_vs_genre_average","1","1.072234","Huawei CCE cloud-course-cce; 2 executor(s); Spark 3.4.3"
